ID;Name;Beschreibung;Art;Ort_Name;Adresse;Latitude;Longitude;Preis_Ca;Preis_Info;Wetter_Praeferenz;Datum_Von;Datum_Bis;Personen_Min;Personen_Max;Indoor_Outdoor;Zielgruppe;Dauer_Info;Website;Kontakt_Telefon;Booking_Info;Image_URL
1;Stiftsbibliothek St. Gallen;Besuch der weltberühmten Stiftsbibliothek (UNESCO-Weltkulturerbe) mit Barocksaal.;Kultur;St. Gallen;Klosterhof 6D;47.4228;9.3764;18;pro Person (Erwachsene), Reduktionen verfügbar;Egal;;;1;50;Indoor;Alle,Kulturinteressierte;1-2 Stunden;https://www.stiftsbezirk.ch;+41 71 227 33 90;Nicht nötig;https://picsum.photos/seed/actimaker_sg_1/400/300
2;Maestrani Chocolarium;Maestrani Chocolarium ist die Erlebniswelt der Schokolade in Flawil, wo Besucher die süße Welt von Maestrani hautnah entdecken können. In interaktiven Ausstellungen und bei gläserner Produktion wird gezeigt, wie Schokolade entsteht – Probieren ausdrücklich erlaubt. Das Angebot richtet sich an Familien, Schulklassen, Geniesser und Schokoladenliebhaber jeden Alters.;Freizeit;Flawil;Toggenburgerstrasse 41;47.41368195;9.165307432;16;pro Person (Erwachsene), Reduktionen verfügbar;Egal;;;;;Indoor;Alle;1-2 Stunden;https://www.chocolarium.ch/;+41 71 228 38 88;Ticket im Voraus kaufen;https://lh3.googleusercontent.com/gps-cs-s/AB5caB_mFC5F5Dsy6ixCG_I_taWE8DUdZXPDXmP8LpVTHISUR0CHr5Bp2WwAe9JxuDLIAgzzSjTDRS7SknvEIEE_0KZ93nKJOUzKl_RBUfS5HYSEkEG8tj-3M-XrU1ep22OpXjuJPRE=w520-h240-k-no
3;Walter Zoo;Der Walter Zoo in Gossau ist ein familienfreundlicher Tierpark mit einer Vielzahl an exotischen und einheimischen Tieren. Neben artgerechter Tierhaltung gibt es spannende Erlebnispfade und ein Streichelzoo. Ein tolles Ausflugsziel für Naturfreunde und Kinder.;Familie;Gossau;Neuchlenstrasse 200;47.41982049;9.28578847;28;pro Person (Erwachsene), Reduktionen verfügbar;Nur Sonne;;;;;Outdoor;Familie, Kinder, Jugendliche;2 Stunden;http://www.walterzoo.ch/;+41 71 387 50 50;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipMBFqwGQGNispvI6k3KWPxnlrl-fuuEE29d4jQS=w408-h305-k-no
4;Textilmuseum St. Gallen;Das Textilmuseum zeigt die lange Tradition der Ostschweizer Textilindustrie. Besucher entdecken kunstvolle Stickereien, historische Maschinen und wechselnde Ausstellungen. Ideal für Kulturinteressierte und Geschichtsfreunde.;Kultur;St. Gallen;Vadianstrasse 2;47.42409872;9.373651662;12;pro Person (Erwachsene), Reduktionen verfügbar;Egal;;;;;Indoor;Kulturinteressierte, Senioren, Touristen;1 Stunde;https://www.textilmuseum.ch/;0712280010;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB8u4Qupn_eOTsKlsDN2gYXjNXDyQ6e6X6gASTRRayOJM2sfHNwSKF5E3zR8PNvKmbozisVOZZ494gwFXYocSoeTRpaL4ANhycMHmvaE3JfPrernQKot0SV_LlECfA4mUeBGYrIkLg=w408-h306-k-no
5;Kathedrale St. Gallen;Die barocke Kathedrale St. Gallen ist Teil des UNESCO-Weltkulturerbes und beeindruckt mit prachtvoller Architektur. Besucher können die reich verzierte Decke, die Krypta und die berühmte Stiftsbibliothek entdecken. Ein Muss für jeden Kulturliebhaber.;Kultur;St. Gallen;Klosterhof 6;47.42316069;9.376709345;;;Egal;;;;;Indoor;Kulturinteressierte, Senioren, Touristen;;https://www.stiftsbezirk.ch/en/cathedral-information;0712240550;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB8a1UBIlP5rm_yF_MSaabrrEvGgMyalzMYjDsfFBKVN11VjqMkS83Gibif30sD1lL57wX4oUf5joPDceeIXbAX-mVE86jvQhXFYW6joydjkJAQ2smAkJ-izALiuRrBDpARxnjJ_=w408-h541-k-no
6;Escape Company & Bar;Ein spannendes Erlebnis erwartet Gruppen in der Escape Company in St. Gallen. Teamwork und logisches Denken stehen im Mittelpunkt, um aus kreativ gestalteten Räumen zu entkommen. Perfekt für Freunde, Firmen oder Events.;Entertainment;St. Gallen;Unterer Graben 1;47.42642693;9.374060269;40;pro Person;Egal;;;;;Indoor;Familie, Kinder, Jugendliche;1 Stunde;https://escapecompany.ch/stgallen.html?utm_source=google&utm_medium=maps&utm_campaign=gmbstgallen;0717223355;Anmeldung erforderlich;https://lh3.googleusercontent.com/p/AF1QipPepQIy6dUrJ4xUZydRsXvv3DU_RzC8rMy39Vbm=w408-h305-k-no
7;Drei Weieren;Die Drei Weieren sind idyllisch gelegene Naturbadeseen oberhalb von St. Gallen. Sie laden im Sommer zum Schwimmen ein und bieten das ganze Jahr über eine herrliche Aussicht auf die Stadt. Ein Ort der Erholung für Einheimische und Touristen.;Freizeit;St. Gallen;Bitzistrasse 65a;47.42148139;9.386423397;;;Nur Sonne;;;;;Outdoor;Alle;;;;Nicht nötig;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XgIvkXl5Y5w0CR_TfeX63w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=285.9175&pitch=0&thumbfov=100
8;Wildpark Peter und Paul;Der Wildpark Peter und Paul in St. Gallen beherbergt einheimische Tierarten wie Luchse, Hirsche und Steinböcke in naturnahen Gehegen. Der Eintritt ist kostenlos, und die weitläufige Anlage liegt idyllisch am Hang mit Panoramablick über die Stadt. Der Park eignet sich hervorragend für Familienausflüge und ruhige Naturbeobachtungen.;Natur;St. Gallen;Kirchlistrasse 99;47.44871254;9.389697524;;;Nur Sonne;;;;;Outdoor;Alle;1 Stunde;http://www.wildpark-peterundpaul.ch/;0712445113;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB8JerZ77352sfrPzkfG5i47e3PT3yvfqxCuAqhfDyl_yuy-stkia6sl2lQLTPhZOII9EkZCQjbwkf0MG8hxjgfbu3IA5Bfm43-a5UiBCciwvi4C6zVKqKyDl8gabqw6Sc6xcXTh=w408-h306-k-no
9;Trampolingpark Rorschach;Der Trampolingpark in Rorschach bietet eine moderne Halle voller Trampoline, Sprungtürme und Hindernisparcours. Kinder, Jugendliche und Erwachsene können hier ihre Sprungkraft und Geschicklichkeit austesten. Die Anlage ist ideal für sportliche Aktivitäten, Kindergeburtstage und Gruppenevents bei jedem Wetter.;Action;Rorschach;Industriestrasse 21;47.47728662;9.4848667;16;pro Person;Egal;;;;;Indoor;Alle;1.5 Stunden;https://www.trampolinpark.ch/;0718455500;Telefonisch reservieren;https://lh3.googleusercontent.com/gps-cs-s/AB5caB8pAY-1GzIX-Yuac6dOlOpHgMzX9_lJ41hbIA7ZmYSDQ5Kj5lnojxk2dwsyHFoIkn-gl8Exwnfy65S9kGZY_wdFm9N-FRd6GDeC3ZDQN37kWFtMCLtih9x5JyjwwjYzuUZaYcIH=w408-h306-k-no
10;Tanoshii Funpark;Der Tanoshii Funpark ist ein Indoor-Freizeitpark in der Ostschweiz mit zahlreichen Attraktionen wie Hüpfburgen, Kletteranlagen und Rutschbahnen. Besonders Kinder können sich hier in sicherer Umgebung austoben, während Eltern im Café entspannen. Der Park bietet wetterunabhängigen Spielspaß für die ganze Familie.;Action;Altstätten;Schöntalstrasse 2;47.37989875;9.548020638;24;pro Person;Egal;;;;;Indoor;Familie, Kinder, Jugendliche;1.5 Stunden;http://tanoshii.ch/;;Online buchen;https://lh3.googleusercontent.com/p/AF1QipO27lCLtiIsv3Ni9jEicMTMAa_G4eA6u37aKNAR=w408-h272-k-no
